timestamp,timein,lat,long,flight number,k_mean,atm_score
1609556958,0.89557162,10.23365073,106.2973015,SQ178,1,0
1609580319,0.890144021,10.17646919,106.4163846,TR302,1,0
1609558781,0.838113143,10.2678514,106.2461713,VJ320,1,0
1609562683,1.006788012,10.27537969,106.2361391,VJ322,1,0
1609581667,0.797788064,10.26997587,106.2433012,VJ326,1,0
1609573755,0.787982923,10.26840852,106.2454156,VJ336,1,0
1609550771,0.905330684,10.27810854,106.2325954,VJ338,1,0
1609600317,0.903551247,10.27198575,106.2406144,VN1820,1,0
1609561112,0.842146596,10.29157605,106.2157789,VN1822,1,0
1609564304,0.782242515,10.32074707,106.1827393,VN1824,1,0
1609575059,1.056308499,10.2709233,106.2420312,VN1826,1,0
1609580786,0.846316625,10.26714109,106.247138,VN1828,1,0
1609578018,0.835733704,10.27734172,106.2335863,VN1832,1,0
1609571803,1.043782311,10.26954974,106.2438744,VN6514,1,0
1609589005,0.874394164,10.27075301,106.242259,VN6516,1,0
1609592255,0.847846475,10.28708776,106.2212633,VN6520,1,0
1609582413,0.848043305,10.28945292,106.2183587,VN6526,1,0
1609570486,0.887271503,10.27097863,106.2419573,VN7834,1,0
1609619648,0.902179878,10.26199675,106.2542472,2Y8816,1,0
1609634478,0.801166564,10.15946475,106.4694648,3K555,1,0
1609667460,1.440061483,10.27590678,106.2354508,QH1522,1,0
1609689231,1.048213057,10.26580804,106.2489618,RH328,1,0
1609644023,0.881465192,10.25871903,106.2588791,SQ178,1,0
1609612338,0.774478777,10.26642244,106.2481196,TK6470,1,0
1609666933,1.306754719,10.26713978,106.2471398,TR302,1,0
1609688278,0.865136808,10.26211282,106.2540846,VJ2432,1,0
1609643796,0.71085766,10.31917343,106.1844154,VJ320,1,0
1609648964,1.143247832,10.20755643,106.344502,VJ322,1,0
1609668727,1.193372797,10.27339274,106.2387498,VJ326,1,0
