,timestamp,lat,long,flight number,k_mean
27883,1619397241.0,10.902900646541312,107.32900646541312,PR591,0
27884,1619429003.0,10.185313470029694,106.90882836750744,QH1042,3
27885,1619399964.0,10.141927669204856,106.74919276692049,QH1044,3
27886,1619412761.0,11.0600015420908,107.29000102806052,QH1103,0
27887,1619408575.0,11.030432811847245,107.30043281184724,QH1123,0
27888,1619423378.0,11.29550924522301,107.13969327826436,QH1133,0
27889,1619426350.0,11.15639837705142,107.24459756557712,QH1153,0
27890,1619452585.0,11.04641670062406,107.29498338087367,QH1155,0
27891,1619433669.0,10.991939217139556,107.31178725998844,QH1173,0
27892,1619418339.0,11.087656734549702,107.27882836727484,QH1175,0
27893,1619425116.0,10.875169571787932,107.33190649874224,QH1313,0
27894,1619371400.0,11.090689431445018,107.27751674917904,QH1315,0
27895,1619410319.0,10.99288441628691,107.31153766514764,QH1321,0
